,cas,smiles,LogLD
208,1095-90-5,Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1.47712125471966
209,58-15-1,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,2.45484486000851
210,108-01-0,CN(C)CCO,3.30102999566398
211,121-69-7,CN(C)C1=CC=CC=C1,2.97818051693741
212,75-60-5,C[As](C)(O)=O,2.80888586735981
213,57-97-6,CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,2.51454775266028
214,1968-12-02 00:00:00,CN(C)C=O,3.44715803134221
215,57-14-7,CN(C)N,2.08635983067474
216,306-37-6,Cl.Cl.CNNC,2.0
217,4164-28-7,CN(C)[N+]([O-])=O,3.03941411917613
218,513-37-1,CC(C)=CCl,3.64982146322456
219,101-25-7,O=NN1CN2CN(C1)CN(C2)N=O,2.97312785359969
220,140-79-4,O=NN1CCN(CC1)N=O,2.20411998265592
221,606-20-2,CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,2.2479732663618
222,121-14-2,Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],2.42813479402878
223,78-34-2,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,1.30102999566398
224,13256-06-9,CCCCCN(CCCCC)N=O,3.24303804868629
225,147-24-0,Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,2.69897000433601
226,86-29-3,N#CC(C1=CC=CC=C1)C1=CC=CC=C1,3.54406804435027
227,102-09-0,O=C(OC1=CC=CC=C1)OC1=CC=CC=C1,3.17609125905568
228,57-41-0,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,3.2135177569963
229,68-89-3,[Na+].CN(CS([O-])(=O)=O)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,3.47712125471966
230,2439-10-03 00:00:00,CC(O)=O.CCCCCCCCCCCCNC(N)=N,2.81954393554186
231,40762-15-0,OCCN1C2=CC=C(Cl)C=C2C(=NC(O)C1=O)C1=CC=CC=C1F,3.40654018043395
232,150-38-9,[Na+].[Na+].[Na+].OC(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],3.3324384599156
233,316-42-7,Cl.Cl.CC[C@H]1CN2CCC3=C(C=C(OC)C(OC)=C3)[C@@H]2C[C@@H]1C[C@H]1NCCC2=CC(OC)=C(OC)C=C12,-1.92081875395237
234,115-29-7,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,1.2552725051033
235,72-20-8,ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@H]3[C@]1(Cl)C2(Cl)Cl,0.477121254719662
236,134-72-5,OS(O)(=O)=O.CN[C@@H](C)[C@H](O)C1=CC=CC=C1.CN[C@@H](C)[C@H](O)C1=CC=CC=C1,2.6063813651106
237,106-89-8,ClCC1CO1,1.95424250943932
238,55-31-2,Cl.CNC[C@H](O)C1=CC(O)=C(O)C=C1,1.3802112417116
239,106-88-7,CCC1CO1,2.69897000433601
240,6381-77-7,[Na+].OC[C@@H](O)[C@H]1OC(=O)C(O)=C1[O-],3.69897000433601
241,29975-16-4,ClC1=CC=C2N3C=NN=C3CN=C(C3=CC=CC=C3)C2=C1,3.39794000867203
242,140-67-0,COC1=CC=C(CC=C)C=C1,3.08990511143939
243,57-63-6,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,2.98227123303956
244,536-33-4,CCC1=NC=CC(=C1)C(N)=S,3.12057393120585
245,150-69-6,CCOC1=CC=C(NC(N)=O)C=C1,3.5051499783199
246,938-73-8,CCOC1=C(C=CC=C1)C(N)=O,3.3424226808222
247,91-53-2,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1,2.90308998699194
248,140-88-5,CCOC(=O)C=C,2.90308998699194
249,64-17-5,CCO,3.8488047010518
250,72-56-0,CCC1=CC=C(C=C1)C(C(Cl)Cl)C1=CC=C(CC)C=C1,3.81954393554186
251,759-73-9,CCN(N=O)C(N)=O,2.47712125471966
252,100-41-4,CCC1=CC=CC=C1,3.54406804435027
253,107-21-1,OCCO,3.67209785793571
254,151-56-4,C1CN1,1.17609125905568
255,75-21-8,C1CO1,1.85733249643126
256,96-45-7,S=C1NCCN1,3.26292546933183
257,142-59-6,[Na+].[Na+].[S-]C(=S)NCCNC([S-])=S,2.59659709562646
258,106-87-6,C1OC1C1CCC2OC2C1,3.32837960343873
259,104-76-7,CCCCC(CC)CO,3.57170883180868
